PM2.5,NO2,NH3,SO2,O3,AQI,Y_Pred,Y Class,Y_Pred Class
65.54,19.39,47.1,9.44,36.38,146,117.8902923,Moderate,Poor
53.35,20.42,50.93,8.74,35.64,188,123.7839585,Moderate,Very Poor
59.2,17.26,46.66,9.23,32.25,191,120.5863047,Moderate,FALSE
57.02,18.65,47.76,9.08,30,189,117.3564013,Moderate,Poor
53.75,18.59,48.22,8.02,32.51,154,110.1489468,Moderate,Poor
48.36,19.18,45.27,7.56,30.9,190,98.64251006,Moderate,Poor
40.7,19.23,59.74,10.39,28.57,104,94.10841252,Moderate,Poor
36.72,18.96,46.58,10.8,30.88,132,102.1643892,Moderate,Poor
42.94,18.58,46.58,11.47,31.69,100,107.9160704,Satisfactory,Poor
47.23,18.89,47.49,7.34,28.35,126,154.1106744,Moderate,Very Poor
81.77,26.1,42.63,11.97,32.5,141,156.172231,Moderate,Very Poor
83.64,18.19,42.14,14.1,38.29,210,116.5655699,Poor,Poor
53.69,20.33,48.95,11.06,31.79,102,107.0934165,Moderate,Poor
47.88,19.16,50.64,14.62,29.31,92,118.8378969,Satisfactory,Poor
57.59,18.92,44.13,12.57,24.5,123,113.2432341,Moderate,Poor
51.55,18.75,45.49,11.53,31.29,143,112.2734279,Moderate,Poor
50.58,19.44,35.66,10.73,30.81,144,110.0443678,Moderate,Poor
49.89,19.47,39.93,13.85,29.26,141,118.6503218,Moderate,Poor
56.67,19.64,41.61,16.07,30.59,106,157.4367772,Moderate,Very Poor
85.39,29.71,42.88,16.06,29.3,195,129.8243182,Moderate,Very Poor
70.17,15.44,44,22.81,18.06,194,104.2501783,Moderate,Poor
49.45,14.52,39.68,16.03,16.74,98,123.4948506,Satisfactory,Very Poor
64.89,15.17,33.16,22.46,19.37,120,116.8327512,Moderate,Poor
59.69,16.22,46.45,19.41,16.56,112,104.1893021,Moderate,Poor
49.27,14.74,41.35,11,12.61,189,113.326324,Moderate,Poor
56.12,14.52,40.63,11.79,14.3,100,121.5331073,Satisfactory,Very Poor
63.11,15.11,39.26,12.75,11.84,145,111.8916076,Moderate,Poor
55.12,15.08,43.36,12.69,14.38,123,111.5145067,Moderate,Poor
54.41,14.92,35.22,12.13,15.58,96,121.0871577,Satisfactory,Very Poor
61.65,15.12,36.74,12.74,16.66,96,109.8651659,Satisfactory,Poor
53.49,14.57,44.64,11.88,14.3,106,116.83428,Moderate,Poor
58.42,14.41,36.34,9.36,13.79,102,115.2505418,Moderate,Poor
57.52,15.55,39,13.1,15.16,121,106.5161082,Moderate,Poor
51.29,14.77,34.65,12.76,13.02,96,118.5528637,Satisfactory,Poor
58.79,16.06,32.92,15,22.01,111,124.8428474,Moderate,Very Poor
63.39,15.16,32.13,11.61,20.54,129,126.7132222,Moderate,Very Poor
66.98,16.15,37,14.04,12.83,106,130.5433422,Moderate,Very Poor
69.54,15.61,35.64,12.82,13.74,123,125.4815609,Moderate,Very Poor
64.9,19.19,41.66,13.55,15.53,176,96.26812915,Moderate,Poor
43.12,13.87,40.55,13.4,15.55,91,89.78186708,Satisfactory,Moderate
39.93,14.15,44.2,19.33,12.97,165,81.67676665,Moderate,Moderate
33.26,14.71,52.02,14.34,10.11,108,91.79049884,Moderate,Poor
40.27,14.15,40.25,13.4,12.72,119,101.0159141,Moderate,Poor
46.96,13.55,33.69,11.86,13.35,98,92.40483083,Satisfactory,Poor
39.91,13.23,25.41,13.06,16.24,100,90.97072151,Satisfactory,FALSE
39.65,12.82,25.89,12.83,12.59,127,97.23136134,Moderate,Poor
45.16,13.19,28.32,14.31,10.77,100,95.65154418,Satisfactory,Poor
43.58,14.18,26.79,14.6,11.95,146,90.24483441,Moderate,FALSE
37.62,16.1,24.53,14.9,18.81,112,95.42723723,Moderate,Poor
41,15.66,23.7,14.02,20.96,97,86.61991559,Satisfactory,Moderate
32.37,16.34,26.38,15.72,30.26,88,77.25507079,Satisfactory,Moderate
24.27,16.66,24.6,16.01,34.15,163,77.91095019,Moderate,Moderate
26.54,17.24,23.58,18.24,28.04,99,79.68593762,Satisfactory,Moderate
26.96,17.1,23.47,14.6,28.95,106,79.35261147,Moderate,Moderate
25.83,16.9,27.06,11.02,29.73,83,77.50898559,Satisfactory,Moderate
