PM2.5,NO2,CO,O3,AQI,Y_Pred
31.22,33.68,0.8,33.76,83.0,82.55352561034616
199.98,12.07,1.08,18.88,279.0,301.58670890858264
61.8651,15.2,9.99,19.3,69.0,225.74294584732024
131.2,15.75,0.24,63.11,262.0,215.51369759525932
10.46,6.92,0.75,37.34,60.0,60.55938472594297
85.53,16.76,1.06,27.6,129.0,156.17072274452516
49.91,13.37,1.85,39.99,118.0,123.48231029848124
39.65,12.82,1.94,12.59,127.0,103.76120435627456
65.19,14.2,1.03,51.03,141.0,136.6837091710807
101.77,33.63,0.16,51.78,216.0,170.8385750817458
40.19,16.5,0.9,36.35,99.0,98.64188457511722
90.72,19.6,6.25,24.24,244.0,220.73706312187136
75.59,16.81,1.57,27.01,149.0,149.06696878895843
61.8651,37.55,3.43,42.33,75.1,153.71909067062956
85.98,20.48,0.6,57.39,180.0,159.24336173971048
266.29,50.12,1.27,27.64,408.0,385.3138124061975
42.97,8.7,0.67,31.47,83.0,99.44627472559993
111.48,15.66,1.51,42.62,207.0,198.9936121789058
55.88,10.79,0.79,32.5,111.0,117.34500922411009
73.86,21.36,7.39,30.81,186.0,213.68361276200216
30.71,6.49,1.18,15.6,103.0,85.44509349987791
54.86,14.6,2.67,36.11,155.0,137.92364326520135
33.66,9.45,0.4,13.16,79.0,79.17051071666273
42.48,15.05,0.03,28.01,76.0,89.53619066066295
50.12,14.43,0.12,46.83,113.0,105.73443927507851
40.27,14.15,1.95,12.72,119.0,104.49785936289236
47.76,18.11,1.0,28.75,70.0,107.11914235119035
24.52,16.5,0.58,46.15,62.0,77.6172938693966
53.74,21.91,0.63,34.76,115.0,111.6497586666862
27.0,13.55,0.3,25.64,79.0,72.32659059770674
62.87,10.21,1.41,55.16,142.0,139.83238409633242
35.99,9.2,0.55,50.11,80.0,94.25468216843484
68.09,12.5,0.98,19.13,130.0,131.1750482351614
54.83,7.41,0.6,31.04,117.0,113.95106941168797
20.25,10.11,0.83,43.18,70.0,75.16951432821122
47.56,20.74,0.78,32.26,84.0,104.9166847273275
45.25,18.58,0.79,62.76,86.0,110.94238327538497
61.87,21.41,0.0,36.9,136.0,115.56428788866923
36.27,13.16,1.88,25.34,150.0,102.25230160666722
22.62,30.4,0.93,23.49,80.0,70.64425976582476
78.68,19.5,0.95,45.96,167.0,150.82868707135802
35.16,22.34,5.16,17.11,107.0,134.54963407611314
71.72,15.74,0.0,37.49,142.0,129.2651460994482
40.25,24.44,0.78,33.21,73.0,95.21731756034225
26.4,10.88,1.13,15.45,75.0,78.60815169184161
51.01,28.5,0.19,32.88,118.0,101.55403841218045
61.69,10.08,1.89,41.98,176.0,140.13371801011965
83.86,19.87,0.04,46.22,166.0,147.09492720940912
122.16,21.5,2.61,23.67,203.0,219.04358759169932
44.73,10.09,0.87,40.15,88.0,106.20001319658364
32.9,10.36,0.25,20.92,68.0,78.50962814986963
93.71,32.16,0.08,59.17,224.0,161.880085281347
94.8,30.87,0.02,43.63,200.0,158.44797577178298
56.51,15.95,0.1,54.72,125.0,115.67546617458456
45.41,11.06,0.94,26.4,87.0,103.87150458938511
57.36,20.3,0.65,29.54,136.0,115.31725596630912
37.4,21.36,0.82,16.83,63.0,87.91810084596759
48.28,12.16,0.17,26.74,77.0,98.67975415399306
35.6,14.37,0.87,23.51,65.0,89.15069035277482
52.23,16.0,0.83,7.55,161.0,105.31362140610196
49.2,33.32,2.73,21.28,176.0,124.24311470641196
144.46,25.53,1.24,27.57,391.0,232.46844099453386
73.81,16.64,1.48,40.96,200.0,149.68505247890923
38.63,16.66,1.11,14.78,83.0,92.97716968206718
68.45,11.26,0.89,40.6,147.0,136.81289061777272
50.13,13.23,1.11,22.2,149.0,110.35392734775425
36.32,14.12,0.78,27.6,75.0,90.23057719106157
37.08,21.86,0.85,20.24,66.0,88.72561610401533
28.16,17.33,1.15,15.54,78.0,80.10371005256087
59.7,21.82,0.35,27.65,95.0,114.12452977704281
47.66,21.38,0.22,66.46,97.0,108.11744889917439
34.8,19.48,1.16,10.5,78.0,86.99046082171427
61.8651,27.9,1.99,32.32,69.0,135.98786133653908
122.88,20.24,1.1,35.37,230.0,206.18955578982641
68.04,9.32,1.1,21.71,140.0,133.70523399379252
41.32,10.67,0.03,25.05,72.0,87.90962218850245
31.02,15.16,0.99,21.88,111.0,84.06281222471776
227.17,8.0,0.0,13.3,148.0,323.22471686869665
42.32,21.72,0.81,18.89,87.0,94.63806642763541
29.09,13.53,1.06,16.99,162.0,81.27401546956004
40.87,12.11,0.23,32.25,68.0,91.40491347938081
11.72,5.17,0.72,48.61,76.0,65.26366392720124
24.43,7.59,1.22,24.2,78.0,80.0754738705143
76.4,17.86,0.0,42.57,158.0,136.35900549898372
49.6,11.33,0.84,40.96,97.0,112.13874894657462
65.26,11.46,0.79,21.75,172.0,126.2694774213628
98.92,16.05,1.06,30.72,221.0,174.34092389777024
61.8651,19.17,0.98,27.19,108.0,124.3898344341244
37.94,23.03,0.85,14.93,85.0,88.15885790380682
19.01,16.94,0.86,41.27,105.0,72.30940724490173
81.75,24.37,1.05,46.88,211.0,155.40089584123638
61.8651,64.35,0.97,17.25,99.74,114.37041271822949
43.52,11.38,1.94,58.74,122.0,121.87047259961571
37.43,10.9,0.0,21.35,197.0,81.50261798017361
39.29,24.94,0.87,36.49,87.0,95.85253062220131
90.02,12.13,1.54,39.73,153.0,171.5417564898063
92.41,33.46,0.08,38.11,216.0,154.11289125226173
68.11,19.07,0.79,35.33,150.0,132.52784656201274
63.65,5.76,0.81,20.87,132.0,125.08407874048457
29.83,13.63,0.59,13.04,90.0,75.73301345807744
36.38,13.84,0.83,32.61,83.0,92.32503656769737
15.66,11.18,0.57,30.16,60.0,62.495763237559714
70.17,15.44,2.12,18.06,194.0,146.1055838267618
46.32,10.47,0.06,15.64,77.0,92.06758830736352
42.17,10.78,1.77,22.74,135.0,108.21545036070756
79.55,12.07,0.67,20.9,162.0,142.90466805568198
51.13,20.89,0.86,51.17,79.0,115.68091745364636
66.69,28.46,0.45,61.2,197.0,132.58041172577572
57.02,18.65,2.39,30.0,189.0,135.14850012442668
48.19,23.43,0.78,29.86,99.0,104.62946505117156
39.74,13.02,0.61,29.13,139.0,93.27934187549067
42.94,18.58,1.58,31.69,100.0,108.30793247441683
32.09,14.96,1.39,18.16,82.0,88.99637118753625
22.75,21.92,1.06,24.69,62.0,73.96914318642477
27.97,17.3,1.75,22.13,107.0,88.56357321001963
36.26,20.14,0.22,18.27,73.0,80.19560653760726
13.2,12.65,0.55,37.43,69.0,60.91282132824051
36.23,13.53,1.05,11.4,100.0,88.75905307967432
14.13,5.39,0.73,50.88,71.0,69.07155850335414
60.61,17.11,0.86,9.03,76.0,116.65066447087528
23.0,17.59,0.98,15.45,80.0,71.47286466248744
111.83,17.01,1.39,37.12,182.0,196.31980617152647
23.89,17.22,1.21,73.43,112.0,91.5271576431595
84.31,21.0,0.9,37.25,187.0,154.80911366453478
26.54,17.24,1.99,28.04,99.0,91.13357334482257
54.94,13.42,0.17,23.36,89.0,106.08281294165516
79.6,19.89,0.89,40.58,161.0,149.75685182692857
69.56,20.37,2.22,30.14,187.0,149.06851021849803
35.53,22.6,0.85,26.21,66.0,88.29036928645233
24.87,14.94,0.85,27.45,69.0,76.16377521556265
23.02,11.32,0.95,60.89,102.0,84.86103189659035
37.23,13.89,0.52,41.66,76.0,92.3991532118718
32.08,31.66,0.84,25.58,59.0,82.14352109270584
30.61,17.89,1.09,26.18,67.0,85.45201171606996
73.03,18.13,0.19,27.66,134.0,129.98929239519094
28.51,13.16,1.26,15.84,81.0,82.55104027556803
52.41,20.36,0.81,25.66,90.0,109.69691235971837
26.0,18.95,0.51,53.25,70.0,80.3177426988408
56.54,6.9,0.84,15.53,128.0,114.62746712619685
35.46,23.85,0.86,48.23,81.0,94.28012232047092
64.87,13.77,0.83,12.69,157.0,123.32621482051852
46.27,16.67,0.12,60.64,123.0,104.30487815050135
28.47,18.38,0.77,17.53,66.0,76.55160514665758
85.64,16.69,1.7,29.62,157.0,164.19996087590917
61.8651,26.05,0.71,42.61,69.0,124.5358352094195
74.73,27.91,0.04,41.61,188.0,132.81944450138803
65.26,11.83,0.69,54.93,134.0,134.35431080401167
66.3,13.95,1.14,37.83,127.0,135.71033187048343
29.11,7.91,1.81,48.21,126.0,99.49129771062209
92.7,14.49,0.86,30.74,186.0,164.32464633029204
63.07,28.5,0.08,72.0,187.0,126.72345498778917
53.27,8.95,0.01,10.8,80.0,99.30133864093888
81.93,8.79,0.78,24.71,188.0,148.79932903239353
9.99,4.57,0.69,42.92,65.0,61.202815233648394
73.57,20.24,0.63,20.21,170.0,133.2915418464712
54.82,17.74,0.9,31.92,121.0,115.9831721793277
43.12,13.87,1.15,15.55,91.0,99.85212624204264
50.94,10.78,0.71,27.66,71.0,108.73798163472449
41.96,13.78,1.34,44.1,122.0,108.5380966617776
32.17,22.0,0.86,30.14,81.0,85.2867302553954
28.82,7.8,1.33,49.71,103.0,94.07244481796425
37.45,11.82,1.09,32.82,104.0,97.04594679401167
16.7,15.29,1.08,15.03,81.0,64.77481628674268
58.15,11.26,1.22,79.9,161.0,138.3620261929245
43.6,13.01,0.66,26.4,76.0,98.0421727417584
34.81,4.91,0.56,16.33,55.0,84.07733531330967
11.67,3.73,0.75,45.9,71.0,65.01085993023945
96.38,16.16,0.93,36.73,217.0,171.2604154717397
38.46,28.53,0.0,39.59,66.0,85.14945103310157
92.83,12.68,0.83,24.37,181.0,162.65144968976148
14.86,10.38,0.65,33.51,59.0,63.446636653047015
61.8651,18.29,9.93,77.43,69.0,240.8383164329117
121.43,18.15,1.04,47.64,273.0,207.40647035078248
61.94,12.87,0.76,58.54,135.0,131.7393539382287
25.55,13.88,1.01,42.25,101.0,83.17343298423094
18.67,16.61,0.98,15.02,66.0,65.94979544882656
34.52,20.56,1.05,20.76,78.0,88.07544291613476
87.99,27.43,0.99,30.92,141.0,157.77505050528364
